 Charge State log10(Te (eV)) log10(Electron Density (cm-3)) log10(Coefficient) te intervals          32 ne intervals           5 z          74
           1  0.30103000000000002        11.000000000000000       -28.685540000000000     
           1  0.30103000000000002        12.000000000000000       -28.685770000000002     
           1  0.30103000000000002        13.000000000000000       -28.675550000000001     
           1  0.30103000000000002        14.000000000000000       -28.663589999999999     
           1  0.30103000000000002        15.000000000000000       -28.669460000000001     
           1  0.44290000000000002        11.000000000000000       -28.089990000000000     
           1  0.44290000000000002        12.000000000000000       -28.106100000000001     
           1  0.44290000000000002        13.000000000000000       -28.124260000000000     
           1  0.44290000000000002        14.000000000000000       -28.120760000000001     
           1  0.44290000000000002        15.000000000000000       -28.141330000000000     
           1  0.58477000000000001        11.000000000000000       -27.617950000000000     
           1  0.58477000000000001        12.000000000000000       -27.626660000000001     
           1  0.58477000000000001        13.000000000000000       -27.635259999999999     
           1  0.58477000000000001        14.000000000000000       -27.631900000000002     
           1  0.58477000000000001        15.000000000000000       -27.686450000000001     
           1  0.72663999999999995        11.000000000000000       -27.250409999999999     
           1  0.72663999999999995        12.000000000000000       -27.248580000000000     
           1  0.72663999999999995        13.000000000000000       -27.241489999999999     
           1  0.72663999999999995        14.000000000000000       -27.235920000000000     
           1  0.72663999999999995        15.000000000000000       -27.331740000000000     
           1  0.86851000000000000        11.000000000000000       -27.016790000000000     
           1  0.86851000000000000        12.000000000000000       -27.013729999999999     
           1  0.86851000000000000        13.000000000000000       -27.005070000000000     
           1  0.86851000000000000        14.000000000000000       -27.000620000000001     
           1  0.86851000000000000        15.000000000000000       -27.129680000000000     
           1   1.0103800000000001        11.000000000000000       -27.056100000000001     
           1   1.0103800000000001        12.000000000000000       -27.056080000000001     
           1   1.0103800000000001        13.000000000000000       -27.054150000000000     
           1   1.0103800000000001        14.000000000000000       -27.059069999999998     
           1   1.0103800000000001        15.000000000000000       -27.190490000000000     
           1   1.1522399999999999        11.000000000000000       -27.428799999999999     
           1   1.1522399999999999        12.000000000000000       -27.430440000000001     
           1   1.1522399999999999        13.000000000000000       -27.435610000000000     
           1   1.1522399999999999        14.000000000000000       -27.459099999999999     
           1   1.1522399999999999        15.000000000000000       -27.551670000000001     
           1   1.2941100000000001        11.000000000000000       -27.894210000000001     
           1   1.2941100000000001        12.000000000000000       -27.896300000000000     
           1   1.2941100000000001        13.000000000000000       -27.905919999999998     
           1   1.2941100000000001        14.000000000000000       -27.945450000000001     
           1   1.2941100000000001        15.000000000000000       -27.991560000000000     
           1   1.4359800000000000        11.000000000000000       -28.208839999999999     
           1   1.4359800000000000        12.000000000000000       -28.211330000000000     
           1   1.4359800000000000        13.000000000000000       -28.221299999999999     
           1   1.4359800000000000        14.000000000000000       -28.263240000000000     
           1   1.4359800000000000        15.000000000000000       -28.289030000000000     
           1   1.5778500000000000        11.000000000000000       -28.395750000000000     
           1   1.5778500000000000        12.000000000000000       -28.399090000000001     
           1   1.5778500000000000        13.000000000000000       -28.406759999999998     
           1   1.5778500000000000        14.000000000000000       -28.440770000000001     
           1   1.5778500000000000        15.000000000000000       -28.466410000000000     
           1   1.7197199999999999        11.000000000000000       -28.555080000000000     
           1   1.7197199999999999        12.000000000000000       -28.559989999999999     
           1   1.7197199999999999        13.000000000000000       -28.564930000000000     
           1   1.7197199999999999        14.000000000000000       -28.588190000000001     
           1   1.7197199999999999        15.000000000000000       -28.616370000000000     
           1   1.8615900000000001        11.000000000000000       -28.747859999999999     
           1   1.8615900000000001        12.000000000000000       -28.755199999999999     
           1   1.8615900000000001        13.000000000000000       -28.758540000000000     
           1   1.8615900000000001        14.000000000000000       -28.773470000000000     
           1   1.8615900000000001        15.000000000000000       -28.795520000000000     
           1   2.0034600000000000        11.000000000000000       -28.933450000000001     
           1   2.0034600000000000        12.000000000000000       -28.943980000000000     
           1   2.0034600000000000        13.000000000000000       -28.946480000000001     
           1   2.0034600000000000        14.000000000000000       -28.954979999999999     
           1   2.0034600000000000        15.000000000000000       -28.966750000000001     
           1   2.1453300000000000        11.000000000000000       -29.070450000000001     
           1   2.1453300000000000        12.000000000000000       -29.084689999999998     
           1   2.1453300000000000        13.000000000000000       -29.086600000000001     
           1   2.1453300000000000        14.000000000000000       -29.089330000000000     
           1   2.1453300000000000        15.000000000000000       -29.092260000000000     
           1   2.2871999999999999        11.000000000000000       -29.175020000000000     
           1   2.2871999999999999        12.000000000000000       -29.193249999999999     
           1   2.2871999999999999        13.000000000000000       -29.194659999999999     
           1   2.2871999999999999        14.000000000000000       -29.191859999999998     
           1   2.2871999999999999        15.000000000000000       -29.187380000000001     
           1   2.4290699999999998        11.000000000000000       -29.273090000000000     
