 Charge State log10(Te (eV)) log10(Electron Density (cm-3)) log10(Coefficient)           48          26
           1   0.0000000000000000        10.000000000000000       -25.941970000000001     
           1   0.0000000000000000        10.199999999999999       -25.941970000000001     
           1   0.0000000000000000        10.400000000000000       -25.941970000000001     
           1   0.0000000000000000        10.600000000000000       -25.941970000000001     
           1   0.0000000000000000        10.800000000000001       -25.941970000000001     
           1   0.0000000000000000        11.000000000000000       -25.941970000000001     
           1   0.0000000000000000        11.199999999999999       -25.941970000000001     
           1   0.0000000000000000        11.400000000000000       -25.941970000000001     
           1   0.0000000000000000        11.600000000000000       -25.941970000000001     
           1   0.0000000000000000        11.800000000000001       -25.941970000000001     
           1   0.0000000000000000        12.000000000000000       -25.941970000000001     
           1   0.0000000000000000        12.199999999999999       -25.941970000000001     
           1   0.0000000000000000        12.400000000000000       -25.941970000000001     
           1   0.0000000000000000        12.600000000000000       -25.941970000000001     
           1   0.0000000000000000        12.800000000000001       -25.941970000000001     
           1   0.0000000000000000        13.000000000000000       -25.941970000000001     
           1   0.0000000000000000        13.199999999999999       -25.941970000000001     
           1   0.0000000000000000        13.400000000000000       -25.941970000000001     
           1   0.0000000000000000        13.600000000000000       -25.941970000000001     
           1   0.0000000000000000        13.800000000000001       -25.941970000000001     
           1   0.0000000000000000        14.000000000000000       -25.941970000000001     
           1   0.0000000000000000        14.199999999999999       -25.941970000000001     
           1   0.0000000000000000        14.400000000000000       -25.941970000000001     
           1   0.0000000000000000        14.600000000000000       -25.941970000000001     
           1   0.0000000000000000        14.800000000000001       -25.941970000000001     
           1   0.0000000000000000        15.000000000000000       -25.941970000000001     
           1   9.9979999999999999E-002   10.000000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   10.199999999999999       -25.422429999999999     
           1   9.9979999999999999E-002   10.400000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   10.600000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   10.800000000000001       -25.422429999999999     
           1   9.9979999999999999E-002   11.000000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   11.199999999999999       -25.422429999999999     
           1   9.9979999999999999E-002   11.400000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   11.600000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   11.800000000000001       -25.422429999999999     
           1   9.9979999999999999E-002   12.000000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   12.199999999999999       -25.422429999999999     
           1   9.9979999999999999E-002   12.400000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   12.600000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   12.800000000000001       -25.422429999999999     
           1   9.9979999999999999E-002   13.000000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   13.199999999999999       -25.422429999999999     
           1   9.9979999999999999E-002   13.400000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   13.600000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   13.800000000000001       -25.422429999999999     
           1   9.9979999999999999E-002   14.000000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   14.199999999999999       -25.422429999999999     
           1   9.9979999999999999E-002   14.400000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   14.600000000000000       -25.422429999999999     
           1   9.9979999999999999E-002   14.800000000000001       -25.422429999999999     
           1   9.9979999999999999E-002   15.000000000000000       -25.422429999999999     
           1  0.19996000000000000        10.000000000000000       -25.019970000000001     
           1  0.19996000000000000        10.199999999999999       -25.019970000000001     
           1  0.19996000000000000        10.400000000000000       -25.019970000000001     
           1  0.19996000000000000        10.600000000000000       -25.019970000000001     
           1  0.19996000000000000        10.800000000000001       -25.019970000000001     
           1  0.19996000000000000        11.000000000000000       -25.019970000000001     
           1  0.19996000000000000        11.199999999999999       -25.019970000000001     
           1  0.19996000000000000        11.400000000000000       -25.019970000000001     
           1  0.19996000000000000        11.600000000000000       -25.019970000000001     
           1  0.19996000000000000        11.800000000000001       -25.019970000000001     
           1  0.19996000000000000        12.000000000000000       -25.019970000000001     
           1  0.19996000000000000        12.199999999999999       -25.019970000000001     
           1  0.19996000000000000        12.400000000000000       -25.019970000000001     
           1  0.19996000000000000        12.600000000000000       -25.019970000000001     
           1  0.19996000000000000        12.800000000000001       -25.019970000000001     
           1  0.19996000000000000        13.000000000000000       -25.019970000000001     
           1  0.19996000000000000        13.199999999999999       -25.019970000000001     
           1  0.19996000000000000        13.400000000000000       -25.019970000000001     
           1  0.19996000000000000        13.600000000000000       -25.019970000000001     
           1  0.19996000000000000        13.800000000000001       -25.019970000000001     
           1  0.19996000000000000        14.000000000000000       -25.019970000000001     
           1  0.19996000000000000        14.199999999999999       -25.019970000000001     
           1  0.19996000000000000        14.400000000000000       -25.019970000000001     
           1  0.19996000000000000        14.600000000000000       -25.019970000000001     
           1  0.19996000000000000        14.800000000000001       -25.019970000000001     
           1  0.19996000000000000        15.000000000000000       -25.019970000000001     
           1  0.29992999999999997        10.000000000000000       -24.710540000000002     
           1  0.29992999999999997        10.199999999999999       -24.710540000000002     
           1  0.29992999999999997        10.400000000000000       -24.710540000000002     
           1  0.29992999999999997        10.600000000000000       -24.710540000000002     
           1  0.29992999999999997        10.800000000000001       -24.710540000000002     
           1  0.29992999999999997        11.000000000000000       -24.710540000000002     
           1  0.29992999999999997        11.199999999999999       -24.710540000000002     
           1  0.29992999999999997        11.400000000000000       -24.710540000000002     
           1  0.29992999999999997        11.600000000000000       -24.710540000000002     
           1  0.29992999999999997        11.800000000000001       -24.710540000000002     
           1  0.29992999999999997        12.000000000000000       -24.710540000000002     
           1  0.29992999999999997        12.199999999999999       -24.710540000000002     
           1  0.29992999999999997        12.400000000000000       -24.710540000000002     
           1  0.29992999999999997        12.600000000000000       -24.710540000000002     
           1  0.29992999999999997        12.800000000000001       -24.710540000000002     
           1  0.29992999999999997        13.000000000000000       -24.710540000000002     
           1  0.29992999999999997        13.199999999999999       -24.710540000000002     
           1  0.29992999999999997        13.400000000000000       -24.710540000000002     
           1  0.29992999999999997        13.600000000000000       -24.710540000000002     
           1  0.29992999999999997        13.800000000000001       -24.710540000000002     
           1  0.29992999999999997        14.000000000000000       -24.710540000000002     
           1  0.29992999999999997        14.199999999999999       -24.710540000000002     
           1  0.29992999999999997        14.400000000000000       -24.710540000000002     
           1  0.29992999999999997        14.600000000000000       -24.710540000000002     
           1  0.29992999999999997        14.800000000000001       -24.710540000000002     
           1  0.29992999999999997        15.000000000000000       -24.710540000000002     
           1  0.39990999999999999        10.000000000000000       -24.475010000000001     
           1  0.39990999999999999        10.199999999999999       -24.475010000000001     
           1  0.39990999999999999        10.400000000000000       -24.475010000000001     
           1  0.39990999999999999        10.600000000000000       -24.475010000000001     
